review_profilename,beer_beerid,beer_name,beer_abv,beer_style,review_overall,review_aroma,review_appearance,review_palate,review_taste
aerozeppl,185,Smuttynose Imperial Stout (Big Beer Series),9.8,Russian Imperial Stout,4.0,4.0,4.0,4.0,4.0
babyhobbes,572,"Samuel Smith's, The Famous Taddy Porter",5.0,English Porter,4.0,4.5,4.0,4.0,4.0
alexgash,16450,New Delhi Freight Train,6.3,American IPA,4.5,4.5,4.0,4.0,4.5
FosterJM,1769,Alaskan Smoked Porter,6.5,American Porter,4.0,4.0,4.0,4.0,4.5
calinative68,1118,Chocolate Stout,6.0,American Stout,4.0,4.5,4.5,4.5,4.5
kmcnair,1944,Spaten Münchner Hell (Premium Lager),5.2,Munich Helles Lager,4.5,4.5,3.5,3.5,4.0
BgThang,46105,Live Oak Primus Weizenbock,8.3,Weizenbock,4.5,4.0,4.0,3.5,4.0
TheKingofWichita,1128,Old Heathen Imperial Stout,8.0,Russian Imperial Stout,3.5,4.0,4.0,4.5,4.5
QuantumPint,72120,Small Patch Pumpkin Harvest Ale,5.0,Pumpkin Ale,2.5,2.0,3.5,4.0,2.5
CHSLBrew,12051,Raven's Eye Imperial Stout,9.5,Russian Imperial Stout,4.0,3.5,4.0,3.5,4.0
kleffman,39286,Christmas Ale,10.0,Belgian Strong Dark Ale,4.5,4.0,4.0,5.0,4.5
mntlover,2512,Chimay Grande Réserve (Blue),9.0,Belgian Strong Dark Ale,2.0,3.5,4.0,3.5,2.5
dismal,1005,HopDevil Ale,6.7,American IPA,4.0,4.0,4.0,4.5,3.5
Beervis,32360,Stone 10th Anniversary IPA,10.0,American Double / Imperial IPA,4.0,5.0,4.5,4.0,4.5
Soonami,50570,Tank 7 Farmhouse Ale,8.0,Saison / Farmhouse Ale,3.5,4.0,4.0,4.0,3.5
far333,35328,Brooklyn Local 1,9.0,Belgian Strong Pale Ale,3.0,3.5,4.0,3.5,3.5
Dogbrick,5160,Grizzly Peak ESB,5.6,Extra Special / Strong Bitter (ESB),3.5,3.0,3.5,3.5,3.0
Sunnanek,45414,Cazeau Tournay Noire,7.6,Foreign / Export Stout,3.0,2.5,4.0,3.0,3.5
superspak,7531,Tröegs Mad Elf,11.0,Belgian Strong Dark Ale,4.0,3.5,4.0,4.0,4.0
saradad,2297,Avalanche Ale,5.41,American Amber / Red Ale,3.5,3.5,3.5,3.5,3.5
GodOfBeer,5196,Brick Waterloo Dark Lager,5.0,Euro Dark Lager,3.0,3.0,4.0,3.5,3.5
baos,1422,Bavaria Beer / Pilsener,4.8,German Pilsener,4.0,3.5,4.0,4.5,3.0
beertooth,49832,Papier,14.5,Old Ale,3.5,4.5,4.0,4.0,4.5
foxmul924,2035,Wizard's Winter Ale,6.3,English Strong Ale,4.0,3.5,2.5,3.5,3.5
musicman575,50433,Hefeweizen,4.8,Hefeweizen,4.0,5.0,4.5,3.5,4.0
alysmith4,28565,Sea Hag IPA,6.2,American IPA,3.0,3.0,3.0,3.0,4.0
DrDogbeer,4083,Stone Ruination IPA,7.7,American Double / Imperial IPA,4.0,4.5,4.0,4.0,4.0
mjc410,19216,Oak Aged Yeti Imperial Stout,9.5,Russian Imperial Stout,3.0,3.5,4.5,4.0,3.0
sockeye101,47434,Hop Henge Experimental IPA,9.0,American Double / Imperial IPA,4.0,3.5,3.5,4.0,4.0
engagechad,3951,ApriHop,7.0,American IPA,4.5,4.5,4.5,4.0,4.0
mdaschaf,1117,Bell's Kalamazoo Stout,6.0,American Stout,4.0,4.0,4.0,4.0,4.0
hopbar,37884,Black Forest Summer Ale,4.5,Kölsch,3.5,4.0,3.0,3.5,3.5
VaTechHopHead,10386,Dorado Double IPA,9.6,American Double / Imperial IPA,4.5,3.5,4.0,4.5,4.5
theozag,1256,Paulaner Hefe-Weissbier Naturtrüb,5.5,Hefeweizen,3.0,3.0,4.0,3.5,3.5
TKEbeerman,60599,Terrapin Hopzilla,10.8,American Double / Imperial IPA,3.5,4.5,3.5,4.0,4.5
sweemzander,138,Corsendonk Pater / Abbey Brown Ale,7.5,Dubbel,4.0,4.0,4.5,4.0,4.0
Ryan011235,60827,Hop Baron Double Down IPA,8.5,American Double / Imperial IPA,4.0,3.0,4.0,3.5,4.0
LyonsHead,5222,Celis White,3.9,Witbier,4.0,4.0,4.0,3.0,4.5
ScottUCF84,1946,Franziskaner Hefe-Weisse,5.0,Hefeweizen,4.0,4.0,4.5,3.5,4.0
Quaffer,781,Samuel Smith's Organically Produced Ale,5.0,English Pale Ale,4.5,4.5,4.0,4.0,4.5
Mora2000,56890,Terrapin Capt'n Krunkles Black IPA,7.5,American Black Ale,4.0,4.0,4.0,4.0,4.0
craytonic,16814,Heady Topper,8.0,American Double / Imperial IPA,4.5,4.5,4.5,3.5,4.0
jwc215,1635,Quad,11.8,Quadrupel (Quad),3.0,3.0,2.5,3.5,2.5
jsanford,67471,Mischief Gone Wild,8.5,Belgian Strong Pale Ale,4.0,4.0,4.5,4.5,4.0
Nascartailgatefa,772,Hacker-Pschorr Hefe Weisse Natürtrub,5.5,Hefeweizen,4.5,4.5,4.5,4.5,5.0
GooberMcNutly,29393,Premium Lager,5.0,Euro Pale Lager,1.5,1.5,4.0,1.5,2.0
kbnooshay,19960,Founders KBS (Kentucky Breakfast Stout),11.2,American Double / Imperial Stout,4.5,4.0,4.5,4.5,4.5
TappaKeggaBrew,7,Purple Haze,4.2,Fruit / Vegetable Beer,4.0,4.5,3.5,4.0,4.0
IronCitySteve,5441,Founders Centennial IPA,7.2,American IPA,4.0,4.0,4.0,4.0,4.5
Prufrock,1118,Chocolate Stout,6.0,American Stout,3.5,5.0,4.5,3.5,3.5
DIM,1006,Mad King's Weiss,6.2,Hefeweizen,3.5,4.0,2.5,4.5,3.5
clickpush,111,Samuel Adams Triple Bock,17.5,American Strong Ale,3.5,3.5,4.0,3.0,3.5
scottoale,1602,Bush Ambrée,12.0,Belgian Strong Pale Ale,4.5,4.5,4.0,5.0,4.5
CharlieMurphy,47434,Hop Henge Experimental IPA,9.0,American Double / Imperial IPA,4.0,4.0,4.0,3.5,4.0
Monteiro,50478,Miss Spelt,5.3,Hefeweizen,4.5,3.5,4.0,4.5,4.0
beerphilosopher,32440,Impériale Weizen,8.0,American Pale Wheat Ale,3.0,3.0,3.0,3.5,3.5
Mdog,22557,Major Tom's Pomegranate Wheat,4.8,Witbier,3.0,3.5,3.5,3.5,3.5
kirok1999,46188,Sea Monster Imperial Stout,10.0,American Double / Imperial Stout,4.0,4.0,4.5,3.5,4.0
jpm30,8759,Beerlao Lager,4.9,Euro Pale Lager,2.5,2.5,3.0,3.0,2.0
tjkinate,7597,Pure Hoppiness,8.0,American Double / Imperial IPA,4.0,4.5,4.0,5.0,4.0
OtherShoe2,6537,Palma Louca Pale Pilsner,4.5,German Pilsener,2.0,2.0,4.0,3.0,2.5
Contagion,2511,Bell's Cherry Stout,7.0,American Stout,4.0,4.0,3.5,3.5,4.0
AKBelgianBeast,3724,Fish Tale Poseidon's Imperial Stout,10.0,Russian Imperial Stout,4.5,3.5,4.0,4.0,4.0
Boto,55112,Willimantic Leap Frog Copper,5.2,English Pale Ale,4.0,3.5,3.5,4.0,3.5
Georgiabeer,52695,Heavy Seas - The Great Pumpkin,8.0,Pumpkin Ale,3.5,4.0,3.5,3.5,3.5
smakawhat,3653,Erdinger Weissbier Kristallklar,5.3,Kristalweizen,3.5,4.0,4.5,3.5,3.5
SaucyA,44755,Harpoon Leviathan - Imperial IPA,10.0,American Double / Imperial IPA,3.5,4.0,4.5,4.0,4.0
billab914,59811,Lips Of Faith - BELGO Belgian India Pale Ale,7.0,Belgian IPA,3.5,3.5,4.0,4.0,3.5
ktrillionaire,57088,Fluffy White Rabbits,8.5,Tripel,5.0,4.0,4.0,5.0,5.0
soju6,2653,Almaza Pilsner Beer,4.0,German Pilsener,3.5,2.5,3.0,3.0,3.0
cdkrenz,942,Full Sail IPA,6.0,American IPA,3.5,4.0,4.0,3.0,3.5
GRPunk,582,Spaten Oktoberfestbier Ur-Märzen,5.9,Märzen / Oktoberfest,4.0,3.5,4.0,4.0,3.5
sholland119,28577,Unearthly (Imperial India Pale Ale),9.5,American Double / Imperial IPA,3.5,4.5,4.0,4.0,4.0
Lexluthor33,24693,Bush De Noël Premium,13.0,Belgian Strong Dark Ale,3.0,4.0,4.0,4.0,3.5
barleywinefiend,49742,110K+OT Batch #2 - I.R.I.S.,11.5,Russian Imperial Stout,2.0,2.5,4.0,2.0,2.0
WesWes,14069,Otter Creek Alpine Ale,5.9,American Amber / Red Ale,4.0,4.0,4.0,4.0,4.0
