review_overall,review_aroma,review_appearance,review_palate,review_taste,cluster
5.0,5.0,5.0,5.0,5.0,0
4.5,4.5,4.0,4.5,4.0,1
3.5,3.5,4.0,4.0,3.5,2
4.0,5.0,4.0,4.0,3.5,-1
5.0,3.5,4.0,4.5,4.5,3
4.5,5.0,4.5,4.5,4.0,4
4.5,4.5,4.0,4.0,4.5,5
3.5,3.5,4.0,3.5,3.5,6
4.5,4.5,4.0,4.0,4.0,7
4.0,4.5,4.0,4.0,4.0,8
4.0,2.5,3.5,4.0,3.0,-1
4.0,4.5,4.5,4.0,4.5,9
4.0,4.0,4.5,4.0,4.5,10
3.5,3.0,4.0,4.0,3.5,11
4.0,4.0,4.5,4.0,4.0,12
4.0,3.5,3.5,3.5,3.5,13
3.5,3.0,3.5,3.5,3.5,14
4.5,5.0,4.0,4.0,4.0,15
4.0,3.5,4.0,4.0,3.5,16
4.0,4.0,5.0,4.0,4.0,17
4.5,2.5,3.5,4.5,4.0,-1
3.0,2.5,3.5,3.0,2.5,18
4.5,4.5,4.5,4.5,4.0,19
4.5,3.0,3.5,4.0,4.0,20
4.0,4.5,4.0,3.5,4.0,21
4.5,4.0,3.5,3.5,4.0,22
3.0,3.5,3.5,3.5,3.5,23
4.0,4.0,3.0,4.5,4.5,24
4.5,4.0,4.0,4.0,4.0,25
4.0,3.5,3.5,4.0,4.0,26
4.5,4.0,4.0,4.0,4.0,25
4.5,3.0,3.5,3.5,4.0,27
4.0,3.5,3.5,3.5,3.5,13
3.0,3.0,4.0,3.0,3.0,28
3.5,3.0,3.0,3.0,3.5,29
4.0,3.5,3.5,3.5,3.5,13
3.5,3.5,4.0,3.5,3.5,6
3.5,3.5,3.5,3.0,3.5,30
4.5,4.5,4.0,4.0,4.5,5
4.5,5.0,5.0,4.5,4.5,31
5.0,4.5,4.5,3.5,4.0,32
5.0,4.0,4.5,4.0,4.5,33
4.0,4.0,4.0,4.0,4.5,34
4.0,4.0,3.5,4.0,4.0,35
4.5,5.0,4.5,4.5,5.0,36
4.5,3.5,3.5,4.5,4.0,37
4.0,4.0,4.0,4.0,4.5,34
4.0,4.0,4.0,4.0,3.5,38
3.0,3.5,3.0,3.5,3.0,39
5.0,3.0,4.0,3.0,3.5,-1
3.5,4.5,4.0,3.5,3.5,40
4.5,4.5,4.0,4.0,4.0,7
2.0,2.0,2.5,2.5,3.0,-1
4.0,4.5,4.0,4.0,4.0,8
1.0,2.0,2.5,1.0,1.0,41
4.0,4.0,4.5,5.0,5.0,42
3.0,3.5,3.0,2.5,3.0,43
5.0,3.0,4.0,4.0,5.0,-1
3.5,3.0,4.0,4.0,3.5,11
3.0,2.5,5.0,3.5,2.5,-1
4.0,4.5,4.0,4.0,3.5,44
4.5,4.5,4.5,3.5,4.5,45
4.0,4.5,4.5,4.0,4.0,46
3.5,3.5,3.0,4.0,4.0,47
3.5,3.5,4.0,4.0,4.0,48
3.5,2.5,2.5,3.5,3.5,-1
4.0,4.0,4.0,4.0,4.0,49
2.5,1.5,1.5,2.0,2.0,-1
4.0,4.0,4.0,4.0,4.0,49
4.5,4.0,4.5,4.5,4.0,50
3.5,4.0,4.0,3.5,3.5,51
4.0,4.0,4.5,3.5,3.5,52
4.5,5.0,4.5,4.0,4.5,53
4.0,3.5,3.0,3.5,4.0,54
4.5,4.0,5.0,4.0,4.5,55
4.0,3.5,3.5,4.0,4.0,26
4.0,4.0,3.0,3.5,4.0,56
4.0,4.0,4.5,4.5,4.0,57
3.0,2.5,3.0,3.0,3.0,58
4.0,4.0,4.5,4.0,4.0,12
4.5,4.5,4.5,4.5,4.5,59
4.5,4.5,4.5,4.0,4.5,60
4.5,3.5,4.0,4.0,4.5,61
4.0,4.0,3.0,4.5,3.5,62
2.5,2.5,2.5,2.5,2.5,63
4.5,4.0,5.0,4.0,5.0,64
3.0,2.5,4.0,2.5,3.5,65
2.0,1.5,2.0,1.5,1.5,66
4.0,4.0,3.5,3.0,4.5,67
4.0,4.5,2.5,4.0,4.0,-1
1.5,2.0,3.0,2.5,2.0,68
2.5,2.5,3.0,3.0,2.5,69
2.0,2.5,3.5,2.0,1.0,-1
4.0,4.5,4.0,4.0,4.5,70
4.0,4.5,4.0,4.0,4.5,70
4.0,3.5,4.5,4.0,4.0,71
4.0,4.0,4.5,4.0,3.0,-1
3.0,3.5,4.0,4.0,3.5,72
4.0,4.0,4.5,4.0,4.5,10
3.0,4.0,4.0,4.0,3.5,73
4.5,3.5,4.0,4.5,4.5,74
3.5,3.0,3.5,3.5,3.0,75
4.5,4.5,4.5,4.5,4.0,19
4.0,4.5,4.5,3.5,4.5,76
3.0,3.0,4.0,3.0,3.0,28
3.5,4.5,4.0,4.0,4.5,77
4.0,4.5,4.0,4.0,4.0,8
2.5,3.0,3.5,3.5,2.5,78
3.5,4.0,4.0,4.0,4.0,79
3.0,3.0,3.5,3.0,3.0,80
3.5,3.5,4.0,3.5,3.5,6
4.0,4.0,3.5,3.5,4.0,81
5.0,3.0,4.0,4.0,3.5,-1
4.5,3.0,3.0,4.0,3.5,-1
4.5,4.0,4.5,4.0,4.0,82
4.0,4.5,4.0,5.0,4.0,83
4.0,5.0,4.0,4.0,5.0,84
5.0,4.5,4.5,4.5,4.5,85
5.0,3.0,5.0,5.0,4.5,-1
4.5,4.0,4.5,4.5,4.0,50
4.0,4.0,4.0,4.5,4.5,86
5.0,4.0,3.5,3.5,4.0,87
3.5,4.5,4.0,4.0,4.0,88
4.0,4.0,4.0,4.0,4.0,49
4.0,4.0,4.0,4.0,4.0,49
4.0,2.0,3.5,3.0,2.5,-1
3.5,4.0,4.0,3.5,4.0,89
3.5,4.0,4.0,4.0,3.5,90
5.0,4.0,4.5,4.5,4.5,91
