beer_style,altbier,american adjunct lager,american amber / red ale,american amber / red lager,american barleywine,american black ale,american blonde ale,american brown ale,american dark wheat ale,american double / imperial ipa,american double / imperial pilsner,american double / imperial stout,american ipa,american malt liquor,american pale ale (apa),american pale lager,american pale wheat ale,american porter,american stout,american strong ale,american wild ale,baltic porter,belgian dark ale,belgian ipa,belgian pale ale,belgian strong dark ale,belgian strong pale ale,berliner weissbier,bière de champagne / bière brut,bière de garde,black & tan,bock,braggot,california common / steam beer,chile beer,cream ale,czech pilsener,doppelbock,dortmunder / export lager,dubbel,dunkelweizen,eisbock,english barleywine,english bitter,english brown ale,english dark mild ale,english india pale ale (ipa),english pale ale,english pale mild ale,english porter,english stout,english strong ale,euro dark lager,euro pale lager,euro strong lager,extra special / strong bitter (esb),faro,flanders oud bruin,flanders red ale,foreign / export stout,fruit / vegetable beer,german pilsener,gose,gueuze,happoshu,hefeweizen,herbed / spiced beer,irish dry stout,irish red ale,japanese rice lager,keller bier / zwickel bier,kristalweizen,kvass,kölsch,lambic - fruit,lambic - unblended,light lager,low alcohol beer,maibock / helles bock,milk / sweet stout,munich dunkel lager,munich helles lager,märzen / oktoberfest,oatmeal stout,old ale,pumpkin ale,quadrupel (quad),rauchbier,roggenbier,russian imperial stout,rye beer,sahti,saison / farmhouse ale,schwarzbier,scotch ale / wee heavy,scottish ale,scottish gruit / ancient herbed ale,smoked beer,tripel,vienna lager,weizenbock,wheatwine,winter warmer,witbier
altbier,0.0,0.9202627372452961,0.954300733029239,0.9919930854311959,0.9291216319919595,0.9846993587856528,0.9458418679120849,0.9352808522736973,0.9341365859605557,0.9396918787664992,0.9902701553095927,0.979120687970192,0.9192508110179793,0.9664102147437321,0.9331979250648416,0.9899236102224044,0.940829634902224,0.9390785638529491,0.9650011096463121,0.9755052161532092,0.9832469541589068,0.9241314218062705,0.978762055735686,0.9621638603490182,0.9811463825404428,0.9744184873654684,0.9428209105277251,0.9785784795722455,1.0,0.9764135307212022,0.9339074083449311,0.9761770361367809,1.0,1.0,0.9702084837092448,0.9697075920297923,0.9647215835747419,0.9653191208032141,1.0,0.9827567295486134,0.9876423968508017,1.0,0.9824811728810341,0.9757961088216066,0.9655066242776602,0.974207769110217,0.97664561115003,0.940178650220662,1.0,0.9222383567158019,0.9849901193082605,0.964850596527552,0.9947048865626958,0.9370642299832646,1.0,0.8950169927490594,0.9294573740956338,0.9842531942600258,0.994439150106109,0.9493392444057288,0.9857890006016105,0.9517738973638535,1.0,0.9497546288193873,1.0,0.9628105677637243,0.9527454489133635,0.9683726772703324,0.9491201833283177,1.0,1.0,1.0,1.0,0.9617100196220199,0.9887417575606229,1.0,0.9756985598570459,1.0,0.9814224467080411,0.9819519597509858,0.9959214324451867,0.9352564431751667,0.8958951208106458,0.9907447422020984,0.9520677900030051,0.9635198143568363,0.9895102776198917,0.9707790157939783,1.0,0.9799686723836799,0.9940940861349375,1.0,0.9652755352321403,0.9430760618973966,0.9833890434228714,0.9607441344949207,0.9759728782548585,1.0,0.9348683581172867,0.9412805570935139,0.9716841179558007,0.9732547024679611,0.9596570670636266,0.9902647193875888
american adjunct lager,0.9202627372452961,0.0,0.9057745708614342,0.9702301379540619,0.9327840906895263,0.9865752756022478,0.9237832125669788,0.9542192376629163,0.959886043408412,0.9316940606653281,0.9743412535693418,0.918532940761116,0.9136192001613282,0.9837915190292323,0.9315456552008232,0.901627792313895,0.9420247178767944,0.9343176299234338,0.9472887836132734,0.9577693867966585,0.9401392144485957,0.9639321533516657,0.9869545253917954,0.9680243004864866,0.9684469990183282,0.9375410879227601,0.9123211626597469,0.996832276314201,0.9919884550848277,0.9508210731877653,0.9352804097909578,0.9366677681229673,0.9407955493909257,0.971739031927326,0.9617670463976159,0.968803391935104,0.9657837801370884,0.9626920934848353,0.9651050536982302,0.9416506629116069,0.9839450735792437,0.9489839653572557,0.9145981884401525,0.9302062067517062,0.9410799798230948,0.9279502904578896,0.9397130628778286,0.9118804182778332,1.0,0.9554779893180942,0.947894947152641,0.957551750224362,0.9496692824714308,0.8924712735809835,0.947707717768129,0.9322099351236087,1.0,0.9687971496795462,0.9872952344389581,0.9842316052131401,0.9317737085237116,0.8811952584710524,1.0,0.9685788495262911,1.0,0.9091734134876345,0.9460553670645662,0.9578331379577922,0.9598265597511878,0.969764283503809,0.9488615581746477,0.9616497850587485,0.914614127037323,0.9594780351057659,0.9360708661148125,0.9702544216763964,0.947522958028774,0.9583237078456619,0.96032575599714,0.9555712019205476,0.9302389707178362,0.9803898009795797,0.9298779388425521,0.9510031064285994,0.9578186233862568,0.9752486027418189,0.9546102124622494,0.9669437736039688,1.0,0.9613926768515171,0.9655030099128673,1.0,0.9416527726688932,0.9702750999841604,0.9685076380702179,0.9527554191448325,0.9907621246789222,0.977709509883761,0.9399433247604101,0.9267356481249169,0.9441487580415454,0.983389078585753,0.972526767447688,0.944287013580599
american amber / red ale,0.954300733029239,0.9057745708614342,0.0,0.9381769892874294,0.9224229112339104,0.9623189515005164,0.9543533848004367,0.9146676654744273,0.9655223882719981,0.8925770025380575,0.9704160278742754,0.8981917049982945,0.8816702040713753,0.9866174642942428,0.9216090469722424,0.9394483352080979,0.9252267500884308,0.8936948282426844,0.9319808617419263,0.9079250099819763,0.9217592291335976,0.9820851695927936,0.9631472269300775,0.9555344966399181,0.9392428072350022,0.9173828733550248,0.9094811015919326,0.9658389744403423,0.9784690416895367,0.9512572119924414,0.9890176262592135,0.9547816141495045,1.0,0.9872734982951121,0.9758375696185462,0.9732201399633249,0.9410917375459603,0.9590997853576538,0.9415528129609911,0.9168752768985013,0.9549315162815543,0.9255946659975117,0.9626570656464597,0.9486987428901114,0.9227164410744776,0.9639412062177511,0.931488164397194,0.9317830673137154,1.0,0.9336194522012411,0.9413711026689573,0.9462783546875767,0.9628564341870732,0.9476433365734871,1.0,0.9417723793256437,1.0,0.9926095830025469,0.9704496200906785,0.9808872474438083,0.9306964847932225,0.9060219585382985,1.0,0.9793787368357577,0.9896161772204602,0.9350255279156001,0.9573525943525456,0.938529511539336,0.9705306962709389,0.9770888452065695,1.0,0.9882210429667939,0.9417209391909751,0.9628086927680221,0.9554796521078388,1.0,0.949249454219612,0.9762953062327318,0.8880531845402401,0.9352259643980245,0.9421627673075069,0.9697830340240864,0.8795477538590043,0.9522187310605078,0.931139741331769,0.9368108513589869,0.9615923301797508,0.9731245402791913,0.9949654559494547,0.9204518942708093,0.9399739037528902,0.9857719518776779,0.9278081700715286,0.9709140338090958,0.9132975192157797,0.9413919459642819,0.9738091842445421,0.9666738859618782,0.9354540249021626,0.9395301829159017,0.9589445446118763,0.9653798991694789,0.913927857038984,0.9247490186892788
american amber / red lager,0.9919930854311959,0.9702301379540619,0.9381769892874294,0.0,0.9708507685881487,0.9523786414226754,1.0,0.9867126824959292,1.0,0.9318654829832325,1.0,0.9733100264568361,0.9420378070506011,0.9572587709908533,0.961484700794349,0.9686600191588716,0.9418346447581639,0.9661409900226468,0.9794911029635673,0.9687011007983777,0.9959011210250835,0.9882560547798966,1.0,0.9801279463540907,0.9870266281318073,0.9821191833975984,0.960527364600375,1.0,1.0,0.9469088563229145,0.986561081909339,0.9917000705223696,1.0,1.0,0.9893558446511233,0.9927845879974785,0.9515589471317266,0.9612845640934151,1.0,0.9508846059975014,0.9326678186757829,0.9361810515329492,0.9980084143770216,0.9887899366144038,0.9764051917637516,1.0,0.9686788444280311,0.948630314081586,1.0,0.9604384625059488,0.991240674566216,1.0,0.9656658594438209,0.9554864941041046,0.9760968295013487,0.9674920413483967,1.0,0.9711191126628221,1.0,0.9724113545274522,0.9329321386368989,0.94676799028114,1.0,0.9979812927650712,1.0,0.9783945643032849,0.9724915542479237,0.9800846333195904,0.9731488115683978,0.9932713752440339,1.0,1.0,1.0,0.9469260367346513,1.0,1.0,0.9839116227920227,0.9651916302881486,0.9556982835225039,0.9837737581078819,0.9773320741818364,0.9817602024301758,0.9801787466844599,0.9719657368837609,0.9565654818739374,0.980917633899563,0.9704015682964716,0.9853835645953515,0.9861384833451243,0.9817687093607085,0.9353367605911778,0.9274558875662459,0.9723796695622762,1.0,0.9848454812772092,0.9886591238077099,0.9993323084563107,0.949467615973985,0.9725970454663596,0.9340497348201046,0.9978209691948317,1.0,0.9772885611678654,0.979507014233571
american barleywine,0.9291216319919595,0.9327840906895263,0.9224229112339104,0.9708507685881487,0.0,0.9709830936867517,0.9606873992997041,0.935991176848973,0.9781677917813468,0.8857972767121933,0.9721295389404347,0.8880453881493563,0.8945894279269556,0.9559957711593027,0.91841576114158,0.9657776856010527,0.9249364410462562,0.9045418251988326,0.9416825652506955,0.9069648316746649,0.8690943932157958,0.9527711600149793,0.9370676457310686,0.9539202468710841,0.9441328916561178,0.9155902875329059,0.9313560791939843,0.9462567091046616,0.9214027412733203,0.965892942047449,0.9656075651111308,0.9709201894126882,0.9692423511972367,1.0,0.9962166429896444,0.9246635537111025,0.9779652121983275,0.9378990370314724,0.9985082853459144,0.9299142497317554,0.9312102930859224,1.0,0.9333011346929416,0.9470061063810024,0.9387171414673018,0.9708619648858191,0.9374156843082313,0.9401262414831227,1.0,0.9182291683376832,0.9755374665923864,0.9794996820550322,0.9557179235176755,0.9624026602772121,0.9948079148090164,0.9605957693067709,0.9256774515277559,0.9950228274696825,0.9512253248825819,0.9416476275397883,0.921489671115695,0.9335377745398259,1.0,0.9659173723848709,1.0,0.9396012603700113,0.9642695187530327,0.9546364038649882,0.9443959282557854,0.986846082339664,0.9331587069732455,1.0,1.0,0.9589899963252154,0.9638372556675037,0.992052589310526,0.9402739622115921,0.9357328695051673,0.9352213222340376,0.965185556257768,0.959446009446,0.9759197249935705,0.9430435396207484,0.944692485459033,0.9305273857192926,0.9480704630483838,0.9437633474714023,0.9673131328772536,0.9594896419430788,0.9530456352553953,0.9549655714386329,0.9639009038973375,0.9137960575478603,0.9803209907690813,0.9232885268838217,0.961532748922782,0.9978640823439742,1.0,0.9228968705806873,0.9480423629102247,0.9565841656595927,0.9443256360336602,0.9534615259483663,0.9466319045078772
american black ale,0.9846993587856528,0.9865752756022478,0.9623189515005164,0.9523786414226754,0.9709830936867517,0.0,0.9762202830859221,0.9526930210767646,1.0,0.9403172178119067,0.9764909073042992,0.9158087004210943,0.9112742338549339,0.9991237884639612,0.97604383852782,0.9572137067220425,0.9521200711587682,0.9684789439358812,0.9596507411819248,0.9616219433747848,0.9616876329842879,0.985038773615841,0.9534422151088653,0.9741213720750891,0.9822011998007729,0.9652852837694124,0.9772331676910813,1.0,0.9731481252618733,0.9768535993810457,1.0,0.9944487998863212,1.0,0.9626102089957328,1.0,1.0,0.9883005106453021,0.9681306456642895,1.0,0.9467996687996426,0.9704698725272409,1.0,0.939614993523309,0.9975008098840604,0.9907945350859695,1.0,0.9869151315974927,0.9688875300059969,1.0,0.975096711275617,0.9721025923718054,0.9419299707855678,0.9973755964970585,0.9737067411953713,0.9940788750453745,0.9837708283142471,0.9825185695526513,0.9711231687963389,1.0,0.9653740714556154,0.9352667352946605,0.9729598246878098,1.0,0.9842481121806388,1.0,0.9691727894202327,0.9745603262171794,0.9706086832900818,0.9930594220700912,1.0,0.9630076189266102,0.9884317237085039,1.0,1.0,0.9578160025068498,1.0,0.9962803871985841,0.9456783504424027,0.9887582297847418,0.9542221151499518,0.972373516873154,1.0,0.9624113661883585,0.9777522754376804,0.9861205123460126,0.9820523645267946,0.9888421585568113,1.0,0.9793979366430646,0.9626197960028793,0.9531658727419243,1.0,0.9201837969443288,0.980897403526649,0.9716898838845418,0.992776132171618,1.0,1.0,0.9532981004611975,0.9833264251532817,0.9961136260780812,0.9955262001448197,0.9840629744502518,0.9185769069464066
american blonde ale,0.9458418679120849,0.9237832125669788,0.9543533848004367,1.0,0.9606873992997041,0.9762202830859221,0.0,0.9542265898090869,1.0,0.9386904724734627,0.9664915070333779,0.9273038171112258,0.9429113050161779,0.9672163501838386,0.9452631046872033,0.9547231884362147,0.9564936436196869,0.9592124255819047,0.9702700554292079,0.9410529963419216,0.9597674429466774,1.0,0.9655933896818536,0.9556467211944188,0.9900108088821128,0.9627121863761963,0.9729678801373807,0.9807054415164153,0.9345171179577382,0.9795677439021211,1.0,0.9734370849564392,1.0,0.9280541357808013,1.0,0.9307852688063992,0.9736119660595262,0.9827291415831741,1.0,0.9721352525881198,0.9649245619722364,0.926182168719121,0.9803812681928392,0.9668715382508568,0.9570055105391025,0.9948754491492007,0.9679894402856013,0.9460299458560405,1.0,0.9713182076083666,0.9892638977251482,0.9813768307477764,0.9322003188221923,0.9685019207287285,1.0,0.9679505400405497,1.0,0.983522352756373,0.9759140064986371,0.9936684290254826,0.9672662613816516,0.9232381937270319,1.0,0.9942266737126009,1.0,0.9255949533662909,0.9766898515470804,0.9712544957585603,0.986644860430191,0.9556335516049004,1.0,0.990577858295887,1.0,0.9802017090769409,0.9710103816887302,1.0,0.9267226601423986,1.0,0.9316717926091235,0.9865001792339794,0.9448959560449979,0.9712564462548597,0.9506612692034669,0.9377229729162951,0.9399608522785599,0.9749869627122513,0.9912785952746557,1.0,1.0,0.9707247293515779,0.9877964173423632,1.0,0.9416839566457869,0.9849200266710236,0.9461978767666314,0.9508857860255289,1.0,0.955630376410733,0.9562675740447889,0.9348608057267921,0.9420092881771293,0.958020097653198,0.9776392239525786,0.9099600886678451
american brown ale,0.9352808522736973,0.9542192376629163,0.9146676654744273,0.9867126824959292,0.935991176848973,0.9526930210767646,0.9542265898090869,0.0,0.9313302241868848,0.9049280376494253,0.9688894722779441,0.9147954304256486,0.8867442081772354,0.9707512235993023,0.9016293136947244,0.9451579245576835,0.9616016623467973,0.9208159073751262,0.9452965487633526,0.9120934895080706,0.906349007670285,0.9642967829899843,0.9910863199634852,0.9573467452783602,0.9476176290861277,0.9384201375897112,0.9075459849587175,0.9626739778547025,0.987484597917312,0.9596488959100362,0.962548511880241,0.9755931451296647,1.0,0.9817905380826988,0.9882021913370947,0.9562996738643775,0.9399169064224797,0.9483384644383744,0.9671059810107066,0.9560696731245107,0.9860178183361743,0.9811370974735846,0.9528028067084708,0.93266805194178,0.9600713447524615,0.9821254261246605,0.9403083807459657,0.9446216738159771,1.0,0.976206587224218,1.0,0.9708351275635716,0.9768561018780627,0.9308976705770637,0.9932713941844383,0.9274974722135119,0.9586137011288145,0.9997228475689984,0.9659398435461839,0.9889981015751691,0.9515442787562941,0.9440214881377981,1.0,0.9531722740214478,1.0,0.9066746776093478,0.959561877926884,0.9376868460435411,0.9447904082986076,0.9772711672706613,0.9846739598831771,0.973004005788417,1.0,0.9778335614681318,0.9249403060189878,1.0,0.9375404904669336,0.9559073933313704,0.9517521562406316,0.9671133209681758,0.9143365315962572,0.9665216246751712,0.9497838747774613,0.974099278212088,0.9482816152821266,0.9581709428276783,0.9432491534800034,0.9681773550090719,0.951225779033286,0.9581184299219873,0.9494815984752502,1.0,0.9486930575952219,0.9728654092955535,0.9414172826463698,0.9244771311243907,0.9995771094587944,0.9962098988498754,0.966123671416923,0.956291797188935,0.9758479769720145,0.9819945037466001,0.9408110506778038,0.9400502180012328
american dark wheat ale,0.9341365859605557,0.959886043408412,0.9655223882719981,1.0,0.9781677917813468,1.0,1.0,0.9313302241868848,0.0,0.9712538797240429,1.0,0.9509781193758131,0.9773169931132693,1.0,0.9472186889203773,0.9470261733057201,0.9842801424721075,0.993240895505166,0.9795717653681691,0.9586511664942334,0.9644419738318301,1.0,1.0,0.9316591701267961,0.9970781639606539,0.9781866466686457,1.0,0.9790852830027298,1.0,0.9953943107671133,0.9370449437042355,1.0,1.0,1.0,0.9376713777581664,1.0,0.9645431696285099,1.0,1.0,0.9607175899006027,1.0,1.0,0.9659856556948436,0.9737430436453911,1.0,1.0,0.9925646120316353,0.9454793219511886,1.0,1.0,1.0,0.9182909109769372,1.0,0.9596923342758655,1.0,0.945496427862975,1.0,1.0,0.9674242725616217,1.0,0.954730568217557,0.9861901125676058,1.0,0.9482836674346793,1.0,0.9531897376131805,1.0,0.9720774419585398,0.9521469042235849,0.9540326548838305,1.0,1.0,1.0,1.0,0.9662915432985073,1.0,0.9947662128358861,1.0,1.0,0.9922260079372219,1.0,1.0,0.9914024706707245,0.9947288301047964,0.9186118252865642,0.9450029840337146,1.0,1.0,1.0,0.9772486456529819,1.0,1.0,1.0,1.0,1.0,0.980077483889168,1.0,1.0,0.96731318250701,0.9840749382175902,1.0,0.959199154801411,0.9418620292878496,0.9750494868509103
american double / imperial ipa,0.9396918787664992,0.9316940606653281,0.8925770025380575,0.9318654829832325,0.8857972767121933,0.9403172178119067,0.9386904724734627,0.9049280376494253,0.9712538797240429,0.0,0.9621342584720197,0.8691862298266565,0.8405537411825006,0.9813626481456422,0.8826626750038539,0.9466520010768956,0.8945750028659545,0.8901116625345522,0.9059471588997418,0.8818908873127149,0.8501102011245705,0.9337801363689454,0.9626372254470841,0.9051526293732652,0.9131628461719608,0.9056034913502482,0.9272662456497287,0.9410745162611822,0.9545499150995991,0.9619275737385613,1.0,0.9373415057016006,0.9888950544822598,0.9937916077876474,0.9900704611501852,0.910814369323984,0.9504476581600808,0.9152143949609904,0.961393239358271,0.9257972962779626,0.9563458037776976,0.9770682555030759,0.913505524191325,0.9211946958895694,0.9374239873583033,0.9355057994824227,0.9267835199853982,0.9197473162605728,0.9974793835157142,0.9280497909860588,0.9741892238762384,0.9440749802744832,0.9800708134122122,0.9512925505230977,0.996329484165097,0.9506383100193956,0.972908075844767,0.9653474402548209,0.9308531001907423,0.94083093053571,0.9138185837223138,0.9168212020456541,0.9519526594294646,0.8940189654165812,0.9604886402723984,0.9290472453922621,0.9660191919030816,0.9351600540462107,0.9439602430941656,0.9902359563929202,0.9936937983197758,0.997438858950196,0.9630405072534343,0.9598173725575935,0.8991359662456592,0.987124550605998,0.9378464842379827,0.98196031071492,0.9430798923155584,0.937383342286115,0.9453857066103986,0.9504590508005488,0.9157062524707547,0.9361258952111962,0.929707983073491,0.9576705620678038,0.9439686201912777,0.9433973687092314,0.9661561728621829,0.890603945486885,0.942887514130221,0.9837583073348366,0.8825447691112103,0.9381724883758502,0.8791486435721672,0.9471025802182754,0.9894805065040781,0.9411441776839983,0.9188008883878295,0.9219398711172085,0.9358558468892044,0.9042820643573453,0.922431349332731,0.9192551095467539
