review_profilename,beer_beerid,beer_name,beer_abv,beer_style,review_overall,review_aroma,review_appearance,review_palate,review_taste,km_labels
Nibbley,776,Samichlaus Bier,14.0,Doppelbock,5.0,5.0,5.0,5.0,5.0,1
BeerTitan,1441,Young's Old Nick Barley Wine Ale,7.2,English Barleywine,4.5,4.5,4.0,4.5,4.0,3
Morey,46809,Flashback Ale,6.88,American Brown Ale,3.5,3.5,4.0,4.0,3.5,0
tempest,2704,St-Ambroise Oatmeal Stout,5.0,Oatmeal Stout,4.0,5.0,4.0,4.0,3.5,5
KoG,248,Hoegaarden Original White Ale,4.9,Witbier,5.0,3.5,4.0,4.5,4.5,3
HotHands,42533,Sierra Nevada Southern Hemisphere Harvest Fresh Hop Ale,6.7,American IPA,4.5,5.0,4.5,4.5,4.0,1
cvaypai,17207,Dark Horse Sapient Trip Ale,8.5,Tripel,4.5,4.5,4.0,4.0,4.5,3
jdhilt,61,Anchor Porter,5.6,American Porter,3.5,3.5,4.0,3.5,3.5,0
biegaman,2533,Hairy Eyeball Ale,9.0,American Strong Ale,4.5,4.5,4.0,4.0,4.0,3
Tolnik,1009,Old Horizontal,11.0,American Barleywine,4.0,4.5,4.0,4.0,4.0,5
Japerrault,35061,Copperhook,5.7,American Amber / Red Ale,4.0,2.5,3.5,4.0,3.0,6
Gavage,21113,Saison D'Erpe-Mere,6.9,Saison / Farmhouse Ale,4.0,4.5,4.5,4.0,4.5,10
Fish113d,7524,Russian Imperial Stout,9.5,Russian Imperial Stout,4.0,4.0,4.5,4.0,4.5,10
Bizz88,46413,Upslope Pale Ale,5.8,American Pale Ale (APA),3.5,3.0,4.0,4.0,3.5,0
PBoegel,52128,Tröegs Java Head Stout,7.5,Oatmeal Stout,4.0,4.0,4.5,4.0,4.0,10
rtepiak,9951,Monarch White Beer,4.5,Witbier,4.0,3.5,3.5,3.5,3.5,6
northyorksammy,73714,House Ales Dampfbier,5.0,California Common / Steam Beer,3.5,3.0,3.5,3.5,3.5,6
sulldaddy,14916,Hop Wallop,8.5,American Double / Imperial IPA,4.5,5.0,4.0,4.0,4.0,3
NEhophead,3442,De Ranke Guldenberg,8.5,Tripel,4.0,3.5,4.0,4.0,3.5,7
ColForbinBC,459,Fred,10.0,American Strong Ale,4.0,4.0,5.0,4.0,4.0,10
Weissenheimer,14515,Crimson Lager,4.1,American Amber / Red Lager,4.5,2.5,3.5,4.5,4.0,7
Jwale73,37207,Lighthouse Lager,4.2,American Adjunct Lager,3.0,2.5,3.5,3.0,2.5,9
cbutova,5490,Dark Horse One Oatmeal Stout Ale,8.0,Oatmeal Stout,4.5,4.5,4.5,4.5,4.0,1
SHODriver,39435,Punk IPA,6.0,American IPA,4.5,3.0,3.5,4.0,4.0,7
UnkleFester,43670,Bourbon Barrel Quad (BBQ),11.8,Quadrupel (Quad),4.0,4.5,4.0,3.5,4.0,5
northaustin,26542,2° Below Winter Ale,6.6,Extra Special / Strong Bitter (ESB),4.5,4.0,3.5,3.5,4.0,5
Frozensoul327,117,Maple Nut Brown Ale,4.5,American Brown Ale,3.0,3.5,3.5,3.5,3.5,0
ThatWineGuy,22381,Dark Horse Double Crooked Tree IPA,13.6,American Double / Imperial IPA,4.0,4.0,3.0,4.5,4.5,3
TheCarboyKid,248,Hoegaarden Original White Ale,4.9,Witbier,4.5,4.0,4.0,4.0,4.0,3
wnh,49145,Schlafly Summer Lager,4.5,Munich Helles Lager,4.0,3.5,3.5,4.0,4.0,7
micromaniac129,2040,Reissdorf Kölsch,4.8,Kölsch,4.5,4.0,4.0,4.0,4.0,3
Landfill21,56419,Dunkel,5.8,Munich Dunkel Lager,4.5,3.0,3.5,3.5,4.0,6
stcules,64809,Altfränkisches Bauernbier Dunkel,5.3,Munich Dunkel Lager,4.0,3.5,3.5,3.5,3.5,6
alpinebryant,24285,Kuhnhenn Nine,9.0,Belgian Strong Dark Ale,3.0,3.0,4.0,3.0,3.0,4
Drew966,80,Organic Münster Alt,5.1,Altbier,3.5,3.0,3.0,3.0,3.5,4
JerzDevl2000,3677,Tröegs Rugged Trail Nut Brown Ale,4.4,English Brown Ale,4.0,3.5,3.5,3.5,3.5,6
meatyard,40916,Thunderhop IPA,6.0,American IPA,3.5,3.5,4.0,3.5,3.5,0
plaid75,33848,Freiberger Premium-Pils,4.9,German Pilsener,3.5,3.5,3.5,3.0,3.5,4
beveritt,47506,Three Guy Off The Scale Barley Wine,15.0,American Barleywine,4.5,4.5,4.0,4.0,4.5,3
SickBrew,646,Westmalle Trappist Tripel,9.5,Tripel,4.5,5.0,5.0,4.5,4.5,1
apintofknowledge,2960,Spezial Rauchbier Lager,4.6,Rauchbier,5.0,4.5,4.5,3.5,4.0,10
Bitzy,924,Franziskaner Hefe-Weisse Dunkel,5.0,Dunkelweizen,5.0,4.0,4.5,4.0,4.5,1
SebD,1654,Creemore Springs Premium Lager,5.0,American Amber / Red Lager,4.0,4.0,4.0,4.0,4.5,3
Kegatron,25924,Big Hop Harvest Ale,7.4,American IPA,4.0,4.0,3.5,4.0,4.0,5
nhindian,53578,Seven Bordeaux Barrel,12.0,American Double / Imperial Stout,4.5,5.0,4.5,4.5,5.0,1
glid02,1094,Bell's Oberon Ale,5.8,American Pale Wheat Ale,4.5,3.5,3.5,4.5,4.0,7
rajendra82,44929,Highland Imperial Black Mocha Stout,9.5,American Double / Imperial Stout,4.0,4.0,4.0,4.0,4.5,3
mntlover,45583,Abbey Ale,8.0,Dubbel,4.0,4.0,4.0,4.0,3.5,5
bfields4,20741,Tripel,9.0,Tripel,3.0,3.5,3.0,3.5,3.0,4
dren,16907,Lager,5.4,American Adjunct Lager,5.0,3.0,4.0,3.0,3.5,7
ritzkiss,51069,White Oak,11.5,Wheatwine,3.5,4.5,4.0,3.5,3.5,5
July2Nov,665,Anchor Liberty Ale,6.0,American Pale Ale (APA),4.5,4.5,4.0,4.0,4.0,3
gskitt,48190,Wacko,4.5,Fruit / Vegetable Beer,2.0,2.0,2.5,2.5,3.0,9
nickd717,53673,Partridge In A Pear Tree Barrel Aged,11.0,Quadrupel (Quad),4.0,4.5,4.0,4.0,4.0,5
Arbitrator,58922,Ommegang Zuur,6.0,Flanders Oud Bruin,1.0,2.0,2.5,1.0,1.0,2
JBStith,1708,St. Bernardus Abt 12,10.0,Quadrupel (Quad),4.0,4.0,4.5,5.0,5.0,1
tempest,11840,Stiegl Gaudi Radler Shandy (Lemon),2.5,Fruit / Vegetable Beer,3.0,3.5,3.0,2.5,3.0,4
Ragingbull,2565,Uff-da,6.7,Bock,5.0,3.0,4.0,4.0,5.0,7
BDTyre,16768,Pale Ale,5.0,American Pale Ale (APA),3.5,3.0,4.0,4.0,3.5,0
TeddyBrew,580,Miller High Life,5.0,American Adjunct Lager,3.0,2.5,5.0,3.5,2.5,8
beergeek279,1003,Golden Monkey,9.5,Tripel,4.0,4.5,4.0,4.0,3.5,5
flexabull,10325,Péché Mortel (Imperial Stout Au Cafe),9.5,American Double / Imperial Stout,4.5,4.5,4.5,3.5,4.5,10
ncvbc,2093,90 Minute IPA,9.0,American Double / Imperial IPA,4.0,4.5,4.5,4.0,4.0,10
duffextracold,20751,Newport Storm '04,14.0,American Strong Ale,3.5,3.5,3.0,4.0,4.0,6
gpcollen1,34909,Stone Old Guardian Barley Wine Style Ale 2007,11.26,American Barleywine,3.5,3.5,4.0,4.0,4.0,7
Gagnonsux,6537,Palma Louca Pale Pilsner,4.5,German Pilsener,3.5,2.5,2.5,3.5,3.5,6
hellomcfly,1173,Santa's Private Reserve Ale,6.0,American Amber / Red Ale,4.0,4.0,4.0,4.0,4.0,5
zdk9,1253,Michelob Light,4.3,Light Lager,2.5,1.5,1.5,2.0,2.0,2
axeman9182,44531,Hell,5.1,Keller Bier / Zwickel Bier,4.0,4.0,4.0,4.0,4.0,5
ckeegan04,28165,Bender,5.1,American Brown Ale,4.5,4.0,4.5,4.5,4.0,10
Chaney,74438,Fest Devious (Release #6),5.8,Märzen / Oktoberfest,3.5,4.0,4.0,3.5,3.5,0
jjayjaye,48413,Harpoon Leviathan - Big Bohemian Pilsner,9.0,American Double / Imperial Pilsner,4.0,4.0,4.5,3.5,3.5,10
MattyG85,20478,Founders Harvest Ale,6.5,American IPA,4.5,5.0,4.5,4.0,4.5,1
tzieser,47451,Odd Notion (Spring '09),5.0,Herbed / Spiced Beer,4.0,3.5,3.0,3.5,4.0,6
Klgkenny,35284,Sexual Chocolate,9.75,Russian Imperial Stout,4.5,4.0,5.0,4.0,4.5,10
rowew,22432,Four Alarm Copper Ale,4.2,Altbier,4.0,3.5,3.5,4.0,4.0,7
smakawhat,2533,Hairy Eyeball Ale,9.0,American Strong Ale,4.0,4.0,3.0,3.5,4.0,6
